
LIGAS ENCONTRADAS
======================================================================
ID: 258 | Canadian Soccer League | País: Canada
ID: 274 | Liga 1 | País: Indonesia
ID: 304 | Liga Panameña de Fútbol | País: Panama
ID: 766 | China Cup | País: World
ID: 372 | Second League | País: Macedonia
ID: 174 | Cup | País: Bulgaria
ID: 10 | Friendlies | País: World
ID: 492 | Tweede Divisie | País: Netherlands
ID: 498 | Cup | País: Kazakhstan
ID: 504 | King's Cup | País: Saudi-Arabia
ID: 507 | Cup | País: South-Africa
ID: 508 | League Cup | País: South-Africa
ID: 510 | 1. Liga Promotion | País: Switzerland
ID: 559 | League Cup | País: Northern-Ireland
ID: 560 | Presidents Cup | País: United-Arab-Emirates
ID: 561 | Premier Intermediate League | País: Northern-Ireland
ID: 407 | Championship | País: Northern-Ireland
ID: 408 | Premiership | País: Northern-Ireland
ID: 827 | Crown Prince Cup | País: Saudi-Arabia
ID: 942 | Serie C - Girone B | País: Italy
ID: 943 | Serie C - Girone C | País: Italy
ID: 493 | UEFA U19 Championship | País: World
ID: 499 | Malaysia Cup | País: Malaysia
ID: 516 | Super Cup | País: Algeria
ID: 537 | CONCACAF U20 | País: World
ID: 544 | FA Cup | País: Hong-Kong
ID: 545 | AIFF Super Cup | País: India
ID: 557 | Super Cup | País: Norway
ID: 285 | Cupa României | País: Romania
ID: 321 | Cup | País: Cyprus
ID: 31 | World Cup - Qualification CONCACAF | País: World
ID: 32 | World Cup - Qualification Europe | País: World
ID: 33 | World Cup - Qualification Oceania | País: World
ID: 34 | World Cup - Qualification South America | País: World
ID: 29 | World Cup - Qualification Africa | País: World
ID: 30 | World Cup - Qualification Asia | País: World
ID: 149 | Second Amateur Division - VFV A | País: Belgium
ID: 150 | Second Amateur Division - VFV B | País: Belgium
ID: 151 | Third Amateur Division - VFV A | País: Belgium
ID: 152 | Third Amateur Division - VFV B | País: Belgium
ID: 175 | Third League - Northeast | País: Bulgaria
ID: 176 | Third League - Northwest | País: Bulgaria
ID: 177 | Third League - Southeast | País: Bulgaria
ID: 178 | Third League - Southwest | País: Bulgaria
ID: 49 | National League - Play-offs | País: England
ID: 491 | Løgmanssteypid | País: Faroe-Islands
ID: 530 | Super Cup | País: Georgia
ID: 345 | Czech Liga | País: Czech-Republic
ID: 346 | FNL | País: Czech-Republic
ID: 355 | First League | País: Montenegro
ID: 356 | Second League | País: Montenegro
ID: 344 | Primera División | País: Bolivia
ID: 256 | USL League Two | País: USA
ID: 373 | 1. SNL | País: Slovenia
ID: 374 | 2. SNL | País: Slovenia
ID: 391 | Super League | País: Malawi
ID: 143 | Copa del Rey | País: Spain
ID: 405 | National Soccer League | País: Rwanda
ID: 409 | Premier League | País: Namibia
ID: 416 | Premier League | País: Belize
ID: 212 | Cup | País: Croatia
ID: 384 | State Cup | País: Israel
ID: 106 | Ekstraklasa | País: Poland
ID: 172 | First League | País: Bulgaria
ID: 5 | UEFA Nations League | País: World
ID: 163 | Liga de Ascenso | País: Costa-Rica
ID: 111 | FAW Championship | País: Wales
ID: 265 | Primera División | País: Chile
ID: 266 | Primera B | País: Chile
ID: 277 | Super League | País: Kenya
ID: 318 | 1. Division | País: Cyprus
ID: 319 | 2. Division | País: Cyprus
ID: 320 | 3. Division | País: Cyprus
ID: 201 | Botola 2 | País: Morocco
ID: 323 | Indian Super League | País: India
ID: 324 | I-League | País: India
ID: 107 | I Liga | País: Poland
ID: 332 | Super Liga | País: Slovakia
ID: 718 | Piala Indonesia | País: Indonesia
ID: 808 | CONCACAF Nations League - Qualification | País: World
ID: 698 | FA Women's Cup | País: England
ID: 714 | Cup | País: Egypt
ID: 716 | Senior Shield | País: Hong-Kong
ID: 768 | Arab Club Champions Cup | País: World
ID: 769 | Premier League Asia Trophy | País: World
ID: 770 | Pacific Games | País: World
ID: 772 | Leagues Cup | País: World
ID: 773 | Sudamericano U20 | País: World
ID: 638 | Kvindeliga | País: Denmark
ID: 642 | Curaçao Sekshon Pagá | País: Curacao
ID: 655 | Copa Constitució | País: Andorra
ID: 664 | Superliga | País: Kosovo
ID: 665 | Cup | País: Kosovo
ID: 677 | QSL Cup | País: Qatar
ID: 494 | Super League 2 | País: Greece
ID: 501 | Copa Paraguay | País: Paraguay
ID: 502 | Copa Bicentenario | País: Peru
ID: 503 | Copa Perú | País: Peru
ID: 509 | 8 Cup | País: South-Africa
ID: 515 | U21 League 1 | País: Algeria
ID: 517 | Trofeo de Campeones de la Superliga | País: Argentina
ID: 518 | Reserve Pro League | País: Belgium
ID: 523 | NISA | País: USA
ID: 525 | UEFA Champions League Women | País: World
ID: 533 | CAF Super Cup | País: World
ID: 534 | CONCACAF Caribbean Club Shield | País: World
ID: 546 | FAI President's Cup | País: Ireland
ID: 482 | Queensland NPL | País: Australia
ID: 182 | Challenge Cup | País: Scotland
ID: 237 | Cup | País: Russia
ID: 97 | Taça da Liga | País: Portugal
ID: 108 | Cup | País: Poland
ID: 105 | NM Cupen | País: Norway
ID: 294 | FA Cup | País: South-Korea
ID: 325 | Santosh Trophy | País: India
ID: 347 | Cup | País: Czech-Republic
ID: 35 | Asian Cup - Qualification | País: World
ID: 224 | Landesliga - Burgenland | País: Austria
ID: 225 | Landesliga - Karnten | País: Austria
ID: 226 | Landesliga - Niederosterreich | País: Austria
ID: 227 | Landesliga - Oberosterreich | País: Austria
ID: 228 | Landesliga - Salzburg | País: Austria
ID: 229 | Landesliga - Steiermark | País: Austria
ID: 230 | Landesliga - Tirol | País: Austria
ID: 231 | Landesliga - Vorarlbergliga | País: Austria
ID: 232 | Landesliga - Wien | País: Austria
ID: 148 | Second Amateur Division - ACFF | País: Belgium
ID: 153 | Provincial - Antwerpen | País: Belgium
ID: 154 | Provincial - Brabant VFV | País: Belgium
ID: 155 | Provincial - Hainaut | País: Belgium
ID: 156 | Provincial - Liege | País: Belgium
ID: 157 | Provincial - Limburg | País: Belgium
ID: 158 | Provincial - Luxembourg | País: Belgium
ID: 159 | Provincial - Namur | País: Belgium
ID: 160 | Provincial - Oost-Vlaanderen | País: Belgium
ID: 161 | Provincial - West-Vlaanderen | País: Belgium
ID: 423 | Ligue 1 | País: Burkina-Faso
ID: 424 | Ligue 1 | País: Congo-DR
ID: 213 | Third NL - Istok | País: Croatia
ID: 214 | Third NL - Jug | País: Croatia
ID: 215 | Third NL - Sjever | País: Croatia
ID: 216 | Third NL - Sredite | País: Croatia
ID: 217 | Third NL - Zapad | País: Croatia
ID: 348 | 3. liga - CFL A | País: Czech-Republic
ID: 349 | 3. liga - MSFL | País: Czech-Republic
ID: 350 | 4. liga - Divizie A | País: Czech-Republic
ID: 351 | 4. liga - Divizie B | País: Czech-Republic
ID: 352 | 4. liga - Divizie C | País: Czech-Republic
ID: 353 | 4. liga - Divizie D | País: Czech-Republic
ID: 354 | 4. liga - Divizie E | País: Czech-Republic
ID: 50 | National League - North | País: England
ID: 51 | National League - South | País: England
ID: 52 | Non League Div One - Isthmian North | País: England
ID: 53 | Non League Div One - Isthmian South Central | País: England
ID: 54 | Non League Div One - Northern West | País: England
ID: 55 | Non League Div One - Northern Midlands | País: England
ID: 56 | Non League Div One - Southern South | País: England
ID: 57 | Non League Div One - Isthmian South East | País: England
ID: 58 | Non League Premier - Isthmian | País: England
ID: 59 | Non League Premier - Northern | País: England
ID: 60 | Non League Premier - Southern South | País: England
ID: 92 | Derde Divisie | País: Netherlands
ID: 93 | Derde Divisie - Sunday | País: Netherlands
ID: 109 | II Liga - East | País: Poland
ID: 341 | Cup | País: Vietnam
ID: 238 | Youth Championship | País: Russia
ID: 83 | Regionalliga - Bayern | País: Germany
ID: 84 | Regionalliga - Nord | País: Germany
ID: 85 | Regionalliga - Nordost | País: Germany
ID: 86 | Regionalliga - SudWest | País: Germany
ID: 87 | Regionalliga - West | País: Germany
ID: 426 | Serie D - Girone A | País: Italy
ID: 427 | Serie D - Girone B | País: Italy
ID: 428 | Serie D - Girone C | País: Italy
ID: 429 | Serie D - Girone D | País: Italy
ID: 430 | Serie D - Girone E | País: Italy
ID: 431 | Serie D - Girone F | País: Italy
ID: 432 | Serie D - Girone G | País: Italy
ID: 433 | Serie D - Girone H | País: Italy
ID: 434 | Serie D - Girone I | País: Italy
ID: 435 | Primera División RFEF - Group 1 | País: Spain
ID: 436 | Primera División RFEF - Group 2 | País: Spain
ID: 437 | Primera División RFEF - Group 3 | País: Spain
ID: 438 | Primera División RFEF - Group 4 | País: Spain
ID: 439 | Tercera División RFEF - Group 1 | País: Spain
ID: 440 | Tercera División RFEF - Group 2 | País: Spain
ID: 441 | Tercera División RFEF - Group 3 | País: Spain
ID: 442 | Tercera División RFEF - Group 4 | País: Spain
ID: 443 | Tercera División RFEF - Group 5 | País: Spain
ID: 444 | Tercera División RFEF - Group 6 | País: Spain
ID: 445 | Tercera División RFEF - Group 7 | País: Spain
ID: 446 | Tercera División RFEF - Group 8 | País: Spain
ID: 447 | Tercera División RFEF - Group 9 | País: Spain
ID: 448 | Tercera División RFEF - Group 10 | País: Spain
ID: 449 | Tercera División RFEF - Group 11 | País: Spain
ID: 450 | Tercera División RFEF - Group 12 | País: Spain
ID: 451 | Tercera División RFEF - Group 13 | País: Spain
ID: 452 | Tercera División RFEF - Group 14 | País: Spain
ID: 453 | Tercera División RFEF - Group 15 | País: Spain
ID: 454 | Tercera División RFEF - Group 16 | País: Spain
ID: 455 | Tercera División RFEF - Group 17 | País: Spain
ID: 456 | Tercera División RFEF - Group 18 | País: Spain
ID: 457 | Campeonato de Portugal Prio - Group A | País: Portugal
ID: 458 | Campeonato de Portugal Prio - Group B | País: Portugal
ID: 459 | Campeonato de Portugal Prio - Group C | País: Portugal
ID: 460 | Campeonato de Portugal Prio - Group D | País: Portugal
ID: 461 | National 3 - Group A | País: France
ID: 462 | National 3 - Group B | País: France
ID: 463 | National 3 - Group C | País: France
ID: 464 | National 3 - Group D | País: France
ID: 465 | National 3 - Group E | País: France
ID: 466 | National 3 - Group F | País: France
ID: 467 | National 3 - Group H | País: France
ID: 468 | National 3 - Group I | País: France
ID: 469 | National 3 - Group J | País: France
ID: 470 | National 3 - Group K | País: France
ID: 471 | National 3 - Group L | País: France
ID: 472 | National 3 - Group M | País: France
ID: 473 | 2. Division - Group 1 | País: Norway
ID: 474 | 2. Division - Group 2 | País: Norway
ID: 484 | Frauenliga | País: Austria
ID: 485 | Federation Cup | País: Bahrain
ID: 486 | Coppa | País: Belarus
ID: 487 | First Amateur Division | País: Belgium
ID: 489 | USL League One | País: USA
ID: 254 | NWSL Women | País: USA
